image,condition,path,split
NI231117_SMI31-488_20x_Piox1_02.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_Piox1_02.czi,train
NI231117_SMI31-488_20x_Piox1_03.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_Piox1_03.czi,train
NI231117_SMI31-488_20x_Piox1_04.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_Piox1_04.czi,train
NI231117_SMI31-488_20x_Piox1_05.czi,low_beads,..\data\raw\low_beads\NI231117_SMI31-488_20x_Piox1_05.czi,train
NI240119_SMI31-488_20x_CHIR_01.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_CHIR_01.czi,train
NI240119_SMI31-488_20x_CHIR_02.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_CHIR_02.czi,val
NI240119_SMI31-488_20x_CHIR_03.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_CHIR_03.czi,train
NI240119_SMI31-488_20x_CHIR_04.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_CHIR_04.czi,train
NI240119_SMI31-488_20x_CHIR_05.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_CHIR_05.czi,train
NI240119_SMI31-488_20x_Pio_01.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_Pio_01.czi,train
NI240119_SMI31-488_20x_Pio_02.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_Pio_02.czi,test
NI240119_SMI31-488_20x_Pio_03.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_Pio_03.czi,train
NI240119_SMI31-488_20x_Pio_04.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_Pio_04.czi,train
NI240119_SMI31-488_20x_Pio_05.czi,low_beads,..\data\raw\low_beads\NI240119_SMI31-488_20x_Pio_05.czi,train
